path	kind	size	lines	ext	issues	sha
app/src/main/java/android/androidVNC/MetaKeyBean.java	text	7334	267	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/MetaList.java	text	2959	77	.java	CRLF,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/MouseMover.java	text	1335	54	.java	CRLF,trailing-whitespace	-
app/src/main/java/android/androidVNC/OneToOneScaling.java	text	1248	57	.java	CRLF	-
app/src/main/java/android/androidVNC/Panner.java	text	2451	104	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/RepeaterDialog.java	text	1592	59	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/RfbProto.java	text	43818	1523	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/Utils.java	text	2709	76	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/VncCanvas.java	text	66375	2257	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/VncCanvasActivity.java	text	62730	1863	.java	CRLF	-
app/src/main/java/android/androidVNC/VncConstants.java	text	175	8	.java	CRLF	-
app/src/main/java/android/androidVNC/VncCursorView.java	text	1225	53	.java	-	-
app/src/main/java/android/androidVNC/ZlibInStream.java	text	3268	112	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/ZoomScaling.java	text	5114	187	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/android/androidVNC/androidVNC.java	text	9016	306	.java	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/android/bc/BCActivityManagerDefault.java	text	449	21	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/BCActivityManagerV5.java	text	468	21	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/BCFactory.java	text	4490	191	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/android/bc/BCHapticDefault.java	text	927	33	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/BCMotionEvent4.java	text	491	24	.java	CRLF,trailing-whitespace	-
app/src/main/java/com/antlersoft/android/bc/BCMotionEvent5.java	text	447	22	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/BCStorageContext7.java	text	720	31	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/BCStorageContext8.java	text	534	24	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/IBCActivityManager.java	text	265	13	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/IBCHaptic.java	text	515	20	.java	CRLF	-
app/src/main/java/com/antlersoft/android/bc/IBCMotionEvent.java	text	517	24	.java	CRLF,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/android/bc/IBCStorageContext.java	text	863	26	.java	CRLF,trailing-whitespace	-
app/src/main/java/com/antlersoft/android/drawing/OverlappingCopy.java	text	5074	136	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/android/drawing/RectList.java	text	15337	550	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/util/ByteBufferStack.java	text	1779	83	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/util/ObjectPool.java	text	1224	58	.java	CRLF,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/antlersoft/util/SafeObjectPool.java	text	666	29	.java	CRLF	-
app/src/main/java/com/k2/zoomimageview/ZoomImageView.kt	text	15824	445	.kt	missing-final-newline	-
app/src/main/java/com/termux/app/BackgroundJob.java	text	18503	458	.java	-	-
app/src/main/java/com/termux/app/BellUtil.java	text	2171	67	.java	-	-
app/src/main/java/com/termux/app/DialogUtils.java	text	3110	71	.java	-	-
app/src/main/java/com/termux/app/ExtraKeysInfos.java	text	12101	340	.java	-	-
app/src/main/java/com/termux/app/ExtraKeysView.java	text	15634	376	.java	-	-
app/src/main/java/com/termux/app/FullScreenWorkAround.java	text	2445	66	.java	-	-
app/src/main/java/com/termux/app/RunCommandService.java	text	13078	339	.java	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
app/src/main/java/com/termux/app/TermuxActivity.java	text	45339	1038	.java	-	-
app/src/main/java/com/termux/app/TermuxHelpActivity.java	text	2544	74	.java	-	-
app/src/main/java/com/termux/app/TermuxInstaller.java	text	29092	575	.java	-	-
app/src/main/java/com/termux/app/TermuxOpenReceiver.java	text	7125	191	.java	-	-
app/src/main/java/com/termux/app/TermuxPreferences.java	text	10721	276	.java	-	-
app/src/main/java/com/termux/app/TermuxService.java	text	18839	425	.java	-	-
app/src/main/java/com/termux/app/TermuxViewClient.java	text	11214	283	.java	-	-
app/src/main/java/com/termux/filepicker/TermuxDocumentsProvider.java	text	12210	294	.java	-	-
app/src/main/java/com/termux/filepicker/TermuxFileReceiverActivity.java	text	11780	270	.java	-	-
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeyButton.java	text	5383	129	.java	-	-
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeysConstants.java	text	8391	197	.java	-	-
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeysInfo.java	text	9661	209	.java	-	-
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeysView.java	text	26634	578	.java	-	-
app/src/main/java/com/termux/shared/termux/extrakeys/SpecialButton.java	text	1567	53	.java	-	-
app/src/main/java/com/termux/shared/termux/extrakeys/SpecialButtonState.java	text	1533	50	.java	-	-
app/src/main/java/com/vectras/qemu/Config.java	text	7742	221	.java	trailing-whitespace	-
app/src/main/java/com/vectras/qemu/MainSettingsManager.java	text	55013	1364	.java	-	-
app/src/main/java/com/vectras/qemu/MainVNCActivity.java	text	59505	1464	.java	CRLF	-
